Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
305,103,2,2,26913.0081391433,3.711833333333,124.086668094219
306,103,3,2,32561.3495920397,3.728866666667,489.312438679978
307,104,1,1,573765.2554171,3.7309,
308,104,2,2,20016.736664933,3.7485,295.187635354884
309,104,3,2,37381.4049448552,3.76555,467.300583565488
310,105,1,1,614165.2843402,3.767583333333,
311,105,2,2,34272.4487693596,3.785166666667,285.289940386703
312,105,3,2,9581.36491589977,3.8022,822.482189537155
313,106,1,1,612850.6060448,3.804233333333,
314,106,2,2,26329.1677120667,3.82185,124.08671971671
315,106,3,2,14580.6016512863,3.838883333333,864.523123577398
316,107,1,1,629389.4960645,3.840916666667,
317,107,2,2,27945.4563081226,3.858533333333,625.408456719647
318,107,3,2,26632.4661278246,3.875566666667,683.462281636241
319,108,1,1,603632.9936945,3.8776,
320,108,2,2,33938.4553790329,3.8952,285.289298203743
321,108,3,2,37206.3008235486,3.91225,467.299796235254
322,109,1,1,568262.5714873,3.914283333333,
323,109,2,2,26910.3680179889,3.931883333333,124.086108480311
324,109,3,2,32836.2720909289,3.948916666667,489.313199211185
325,110,1,1,575252.7905394,3.950966666667,
326,110,2,2,22977.9476508538,3.96855,279.092722459732
327,110,3,2,19806.3356549355,3.985583333333,295.187821231153
328,111,1,1,551805.9325775,3.987633333333,
329,111,2,2,6092.51899277476,4.005233333333,59.059958889445
330,111,3,2,33348.9625395403,4.022266666667,285.289616920295
331,112,1,1,576412.6842758,4.0243,
332,112,2,2,27071.2543125593,4.041933333333,124.086465711932
333,112,3,2,36571.5091939736,4.058983333333,467.300797354358
334,113,1,1,555169.4452714,4.061016666667,
335,113,2,2,23567.8707915261,4.0786,279.092472061063
336,113,3,2,32054.6319716868,4.09565,489.312914501238
337,114,1,1,567447.8522156,4.0977,
338,114,2,2,34756.4263085118,4.115283333333,285.289496557592
339,114,3,2,20213.7729705575,4.132333333333,295.18762138311
340,115,1,1,613277.1300804,4.134366666667,
341,115,2,2,25927.7471130047,4.15195,124.086740143072
342,115,3,2,37084.6028146191,4.169,467.300310913563
343,116,1,1,625220.7172177,4.171033333333,
344,116,2,2,46599.3172492103,4.188633333333,340.356571285656
345,116,3,2,30615.8397324135,4.205683333333,447.343860896184
346,117,1,1,620935.8922104,4.2077,
347,117,2,2,23241.1673901552,4.225316666667,279.092734129009
348,117,3,2,34035.3068089727,4.24235,285.289104147759
349,118,1,1,640010.4497696,4.244383333333,
350,118,2,2,29666.9674065847,4.261983333333,425.361687572795
351,118,3,2,37617.5730942362,4.279016666667,489.439933481735
352,119,1,1,679770.0328506,4.281066666667,
353,119,2,2,48744.1693616708,4.298666666667,447.344462785621
354,119,3,2,12777.3919028924,4.315716666667,766.538260421415
355,120,1,1,654339.9007989,4.31775,
356,120,2,2,27480.4776465527,4.335366666667,124.086567986471
357,120,3,2,34420.8357004718,4.3524,285.290061460724
358,121,1,1,457299.8782795,4.354433333333,
359,121,2,2,13890.9221281529,4.37195,653.439693691156
360,121,3,2,38986.7862658802,4.388983333333,711.493472473755
361,122,1,1,688899.1042649,4.391016666667,
362,122,2,2,6599.71651569606,4.408616666667,59.059899050348
363,122,3,2,25964.6382389603,4.42565,447.343441071385
364,123,1,1,622046.5900886,4.427683333333,
365,123,2,2,28024.7954718613,4.445283333333,124.086545189843
366,123,3,2,33835.246865128,4.462333333333,285.290225389154
367,124,1,1,589054.7732157,4.46435,
368,124,2,2,23723.4032778769,4.481966666667,279.093441947202
369,124,3,2,35893.9763935564,4.499,467.300139542605
370,125,1,1,657844.864447,4.50105,
371,125,2,2,42015.9148141631,4.518633333333,531.406950043369
372,125,3,2,69625.7641228245,4.535683333333,553.388983755898
373,126,1,1,627382.093069,4.537716666667,
374,126,2,2,6575.84160090926,4.5553,59.059943810088
375,126,3,2,34175.3996414494,4.57235,285.289080855416
376,127,1,1,590888.9784313,4.574383333333,
377,127,2,2,27234.5424505388,4.591966666667,124.086722459686
378,127,3,2,35996.8944516734,4.609,467.299476856368
379,128,1,1,620360.4322386,4.61105,
380,128,2,2,24048.9796903693,4.62865,279.093026289708
381,128,3,2,31952.9772232408,4.645683333333,489.312395725157
382,129,1,1,641811.5266141,4.647716666667,
383,129,2,2,6297.81661597762,4.665333333333,59.059844978488
384,129,3,2,35090.4106110272,4.682366666667,285.290305283138
385,130,1,1,602834.465394,4.6844,
386,130,2,2,26402.1451077912,4.702,124.086212496414
387,130,3,2,37013.6703517222,4.71905,467.299651416962
388,131,1,1,597264.8709628,4.721083333333,
389,131,2,2,24241.655105314,4.738683333333,279.093424760632
390,131,3,2,31736.8866900281,4.755716666667,489.313362062694
391,132,1,1,631078.884019,4.757766666667,
392,132,2,2,35233.9549052193,4.77535,285.289759914343
393,132,3,2,28438.6728676482,4.7924,782.531587445118
394,133,1,1,635206.2864227,4.794433333333,
395,133,2,2,6231.68546847245,4.812016666667,59.060077599964
396,133,3,2,27054.5494519069,4.829066666667,124.086141201895
397,134,1,1,589824.1427979,4.8311,
398,134,2,2,24670.8756530288,4.848683333333,279.093088541372
399,134,3,2,31332.038665476,4.865733333333,489.312485601745
400,135,1,1,772649.3682999,4.867766666667,
401,135,2,2,122651.6865157,4.885366666667,563.502521970913
402,135,3,2,64117.5953823901,4.9024,603.494835462404
403,136,1,1,1015511.688019,4.90445,
404,136,2,2,49190.7715644702,4.922066666667,619.469063750893
405,136,3,2,32584.9144420762,4.9391,845.513801621314
406,137,1,1,1015689.73016,4.941133333333,
